Document Type,Provider,AHCA Case Number,Formal/Informal Case Number,Date_Rendered
Defaults and Dismissals,5 Star Home Living Healthcare LLC,2021012305,,1/13/2022
Defaults and Dismissals,5 Star Supportive Services LLC,2019003232,,5/10/2019
Settlement Agreements,5 V's Pharmacy Inc,CI 06-4344-000,06-3492MPI,4/19/2007
Settlement Agreements,58942 Home Helpers,2025000530,25-034PH,3/3/2025
Settlement Agreements,621 Plantation ALF LLC,2023000482,23-038PH,2/13/2023
Defaults and Dismissals,6305 Cortez Road West Operations LLC,NH16843,,3/12/2014
Defaults and Dismissals,6305 Cortez Road West Operations LLC,"CI 15-0363-000, 2015-0000798",,9/8/2015
Defaults and Dismissals,67th Avenue Pharmacy,2015-0005359,,2/8/2016
Settlement Agreements,6th Street Bridge Mobility,2022011451,22-472PH,9/23/2022
Settlement Agreements,6th Street Bridge Mobility,2025004998,25-221PH,5/5/2025
Defaults and Dismissals,7520 Rehabilitation Center LLC,2020007735,,3/26/2021
Defaults and Dismissals,803 Oak Street Operations LLC,"CI 15-0365-000, 2015-0000800",,9/8/2015
Settlement Agreements,80th Place,2012007214,12-2641,12/6/2012
Defaults and Dismissals,81 Oaks Senior Living,"2025018311, 2026000295",,4/23/2026
Defaults and Dismissals,855-411-4-HRT Corporation,2014001367,,4/18/2014
Defaults and Dismissals,888 Medical Supplies LLC,2007009434,,11/8/2007
Defaults and Dismissals,A & A Community Mental Health Center LLC,2021002076,,2/25/2021
Defaults and Dismissals,A & A Consumer Concepts Inc,2011007952,,8/31/2011
Defaults and Dismissals,"A & A Health Service, Inc",2003004199,,8/12/2003
Defaults and Dismissals,"A & A Health Service, Inc",2003000294,,4/14/2003
Defaults and Dismissals,"A & A Health Service, Inc",2004007975,,10/14/2004
Settlement Agreements,"A & A Health Service, Inc",2010007347,,9/10/2010
Defaults and Dismissals,A & A Medical Facility Inc,2015006984,,10/29/2015
Settlement Agreements,A & A Medical Services Inc,CI 12-1171-000,,5/8/2012
Settlement Agreements,"A & A Medical Services, Inc",650881200,55533 & 55594,7/8/2008
Defaults and Dismissals,A & A Orthopedic Appliances Inc,2005004723,,9/9/2005
,"A & A Service of Dade, Inc",,96-103PH,10/28/1997
,"A & A Supplies & Medical Rental, Inc",,96-153PH,10/8/1998
Defaults and Dismissals,A & Associates,2010011239,,12/14/2010
Defaults and Dismissals,"A & B Health Care Services, Inc dba Hampton Court",,93-4870,4/21/1994
Defaults and Dismissals,"A & B Health Care Services, Inc dba Hampton Court Nursing",,94-3486,12/16/1994
Settlement Agreements,A & B Health Services Inc,2012002093,12-001260,5/21/2012
Settlement Agreements,A & B Health Services Inc dba A & B Health Services Inc,2009010566,09-6043,1/5/2010
Settlement Agreements,A & B Healthcare Services Inc dba Hampton Crt Nursing Ctr,CI 01-0896-001,,8/18/2003
Defaults and Dismissals,A & B Home Health Inc,2007011534,,11/5/2007
Defaults and Dismissals,A & B Home Health Inc,2004008384,,1/31/2005
Settlement Agreements,A & B Home Health Inc,2008006956,,8/18/2008
Defaults and Dismissals,A & B Home Health Inc,2010006712,,8/18/2010
Settlement Agreements,A & B Home Health Inc,2011000923,11-86PH,5/2/2011
Settlement Agreements,A & B Medical Health Center Inc,2009009260,09-356PH,10/8/2009
Defaults and Dismissals,A & B Medical Health Center Inc,2013002569,,4/17/2013
Settlement Agreements,A & B Supportive Services LLC,2011013537,,2/27/2012
Defaults and Dismissals,"A & C Health Services, Inc.",2005009030,,3/22/2006
Emergency Orders,"A & C Health Services, Inc.",2005008778,,4/5/2012
Defaults and Dismissals,A & C Home Health Care Inc,2014001779,,4/21/2014
Defaults and Dismissals,A & C Home Health Care Inc,2015003694,15-219PH,10/5/2015
Defaults and Dismissals,A & C Home Health Care Inc,2015005150,,9/10/2015
Defaults and Dismissals,A & C Home Health Care Inc,2015003412,,6/17/2015
Defaults and Dismissals,A & C Home Health Care Inc,2014004333,,4/6/2015
Settlement Agreements,"A & C Home Health Care, Inc",2010001333,10-75PH,5/17/2010
Defaults and Dismissals,A & C Medical Rentals Inc,2006005168,,2/23/2007
Defaults and Dismissals,A & C Medical Rentals Inc,2004005460,,8/30/2004
Defaults and Dismissals,A & C Medical Supplies Inc,2007007234,,9/8/2008
Settlement Agreements,A & C Medical Supplies Inc,2007008242,,10/29/2008
Defaults and Dismissals,A & D Home Care Agency,2021007584,21-350PH,12/1/2021
Defaults and Dismissals,A & D Love and Care Inc,2020004333,,7/16/2020
Defaults and Dismissals,A & D Love and Care Inc,2016003378,,8/10/2018
Defaults and Dismissals,"A & E X-Ray, Inc.",2005006997,,10/26/2005
Defaults and Dismissals,A & E Healthcare,2023007628,23-254PH,9/25/2023
Defaults and Dismissals,A & F Medical Services Inc,2007014202,,3/19/2008
Defaults and Dismissals,A & F Medical Services Inc dba A and F Medical Services,2009004556,,7/16/2009
Defaults and Dismissals,A & G Love N Care Inc,2008012383,,12/30/2008
Defaults and Dismissals,A & G Love N' Care Inc,2011002723,,4/20/2011
Defaults and Dismissals,A & H of Daytona Inc,"CI 15-0710-000, 2015-0000288",,2/4/2016
Defaults and Dismissals,A & H of Pompano Inc dba Pompano Retirement Village,2010007907,,11/15/2010
Defaults and Dismissals,A & H Pompano Inc,CI 09-8263-000,,5/14/2009
Defaults and Dismissals,A & H Pompano Inc,CI 12-2556-000,,9/7/2012
Defaults and Dismissals,A & H Pompano Inc dba Pompano Retirement Village,2010001189,,5/5/2010
Defaults and Dismissals,"A & H Pompano, Inc dba Pompano Retirement Village",2009011624,,1/27/2010
Defaults and Dismissals,"A & H Pompano, Inc dba Pompano Retirement Village",2009008813,,11/5/2009
Defaults and Dismissals,A & I Home Care Services,2020017729,,2/11/2021
Defaults and Dismissals,A & J Adult Care Center,10-97-287-ALF,97-229PH,8/3/2000
Settlement Agreements,A & J Adult Care Center Inc,10-98-100-ALF,98-1579,3/23/1999
Defaults and Dismissals,A & J ALF Of Florida Inc II,CI 12-1813-000,,8/6/2012
Recommended Orders,A & J ALF of Florida Inc II,2013010418,14-101PH,8/26/2014
Settlement Agreements,A & J Mobility Inc,2018009569,18-515PH,12/10/2018
Defaults and Dismissals,A & J New Medical Supplies Inc,2003008035,,12/22/2003
Defaults and Dismissals,A & J of Palatka,CI 09-8267-000,,5/28/2009
Defaults and Dismissals,A & J of Palatka Inc dba Arlington House ACLF,2009003811,,11/24/2010
Defaults and Dismissals,"A & J Palatka, Inc dba Arlington House ACLF",2008010723,08-609PH,2/9/2009
Settlement Agreements,A & J Rehab Center Inc,2015010148,15-477PH,6/22/2016
Defaults and Dismissals,A & J Rehabilitation Center Inc,2014008833,,11/18/2014
Defaults and Dismissals,A & J Subachan Investment Inc dba Bilmar Gardens,2009008019,,11/17/2009
Defaults and Dismissals,"A & J Subachan Investment, Inc d/b/a Bilmar Gardens",2008001948,,9/17/2008
Defaults and Dismissals,"A & J Subalhan Investments, Inc",CI 09-8264-000,,5/14/2009
Defaults and Dismissals,A & K Open Arms Agency,2020016999,,12/17/2020
Defaults and Dismissals,A & L Healthcare Corp,2015003742,,8/12/2015
Settlement Agreements,A & L Medical Center Inc,2014011309,15-021PH,6/3/2015
Settlement Agreements,A & L Medical Center Inc,2011000302,11-63PH,4/20/2011
Defaults and Dismissals,A & M Assisted Living Facility II,2010011442,,2/23/2011
Defaults and Dismissals,"A & M Medical Supplies, Inc",11-01-0162-HME,,9/20/2001
Defaults and Dismissals,A & M Therapy Inc,2013000818,,5/1/2013
Defaults and Dismissals,A & P Rehabilitation Center Inc,2013006302,,8/20/2013
Defaults and Dismissals,A & R Home Health Care Inc,2009000755,09-61PH,5/27/2009
Defaults and Dismissals,A & R Home Health Care Inc,2009003675,,6/9/2009
Defaults and Dismissals,A & R Home Health Care Inc,2010009654,,9/15/2011
Settlement Agreements,"A & R Home Health Care, Inc",2009002208,09-158PH,8/11/2009
Defaults and Dismissals,"A & R Professional Group, Inc.",2006004702,,8/11/2006
Settlement Agreements,A & R Rehab Therapy Center Inc,2011003809,,5/25/2011
Defaults and Dismissals,A & R Support Services LLC,2012001869,,4/11/2012
Defaults and Dismissals,A & S Quality Care,2016-0006157,,8/1/2016
Defaults and Dismissals,A & S Quality Care Inc,2014007273,,9/29/2014
Defaults and Dismissals,A & S Quality Care Inc,CI 15-0502-000,,1/5/2015
Defaults and Dismissals,A & S Quality Care Inc,CI 15-0499-000,,1/15/2015
Defaults and Dismissals,A & S Quality Care Inc,CI 15-0498-000,,1/15/2015
Defaults and Dismissals,A & S Quality Care Inc,CI 15-0497-000,,1/16/2015
Defaults and Dismissals,A & S Quality Care Inc,2011012813,,1/19/2012
Defaults and Dismissals,A & V Durable Medical Equipment Inc,2009011741,,1/19/2010
Defaults and Dismissals,A & V Durable Medical Equipment Inc,CI 10-9645-000,,2/8/2010
,"A & V Durable Medical Equipment, Inc",,97-168PH,1/27/1998
Defaults and Dismissals,A & Y Home Health Of Tampa Corp,2009002210,,6/11/2009
Defaults and Dismissals,A & Y Professional Care Corp,2004008146,,11/22/2004
Defaults and Dismissals,A & Y Professional Care Corp,2004002358,,5/10/2004
Defaults and Dismissals,A + Home Aid,2012013541,,2/5/2013
Settlement Agreements,A + Kids Therapy Services Inc,TP00021,,8/15/2011
Defaults and Dismissals,A + Quality Home Health Care,2008013432,,1/28/2009
Defaults and Dismissals,A + Quality Home Health Care,2010000953,,5/27/2010
Defaults and Dismissals,A + Quality Home Health Care,2010002304,,5/27/2010
Defaults and Dismissals,A + Quality Home Health Care Inc,2017007762,,3/8/2018
Settlement Agreements,A + Quality Home Health Care Inc,"2010007341, 2010003993","10-491PH, 10-420PH",3/21/2011
Defaults and Dismissals,A + Quality Home Health Care Inc,2011008061,,11/21/2011
Settlement Agreements,A 1 Assisted Living Facility LLC,"2018012394, 2017008179, 2018005741, 2018005742, 2018005744, 2018005844","18-751PH, 18-385PH",2/20/2019
Defaults and Dismissals,A 1 Assisted Living Facility LLC,2016004265,,6/15/2016
Defaults and Dismissals,"A 1 Healthcare of Jacksonville, Inc",CI 10-1259-000,,6/11/2010
Defaults and Dismissals,"A 1 Healthcare of Jacksonville, Inc",CI 10-1130-900,,6/28/2010
Defaults and Dismissals,A 1 Home Health Agency Inc,2009010663,,2/16/2010
Defaults and Dismissals,"A 1 Woman's Health Care, Inc",2010000006,,2/17/2010
Defaults and Dismissals,"A 1 Woman's Health Care, Inc",2008014474,,2/3/2009
Defaults and Dismissals,A A Advanced Care Inc,200202054,,5/20/2002
Defaults and Dismissals,A Absolute Healthcare Services,2024009788,,9/23/2024
Defaults and Dismissals,A American Surgical Supply Corp Of Wpb,2003007857,,12/22/2003
Defaults and Dismissals,A American Surgical Supply Corp Of Wpb,2006000827,,8/10/2006
Defaults and Dismissals,A American Surgical Supply Corp Of WPB,2006008077,,3/7/2007
Defaults and Dismissals,A American Surgical Supply Corp v AHCA,2009011807,,7/6/2010
Settlement Agreements,A And A HBB LLC,2010010820,10-750PH,12/6/2010
Defaults and Dismissals,"A and A Medical Services, Inc d/b/a A and A Medical Services Inc",2008009423,,9/29/2008
Settlement Agreements,"A and A Medical Services, Inc.","2009002213, 2009002720",,6/8/2009
Defaults and Dismissals,"A And A Medical Services, Inc.",2004009466,,12/9/2004
Defaults and Dismissals,A And J Medical Center Inc,2011005324,,6/9/2011
Recommended Orders,A and J Subachan Investments Inc dba Bilmar Gardens,2009008020,10-363PH; 09-5234,11/1/2010
Defaults and Dismissals,A and JP Staffing Inc,2016007644,16-441,9/30/2016
Defaults and Dismissals,A Arthur Katona MD,2022002384,,4/11/2022
Defaults and Dismissals,A B Support Services Inc,2011007524,,9/15/2011
Defaults and Dismissals,A Banyan Residence,"2020009187, 2020009188",,7/9/2020
Settlement Agreements,A Banyan Residence,2012002560,12-417PH,4/16/2013
Defaults and Dismissals,A Banyan Residence,2014001432,,8/19/2014
Defaults and Dismissals,A Banyan Residence,2016001006,,8/22/2016
Defaults and Dismissals,A Banyan Residence,2016000406,,6/9/2016
Defaults and Dismissals,A Banyan Residence at Wildwood LLC,2023005242,,6/12/2023
Defaults and Dismissals,A Becky Care,2025006910,,6/23/2025
Defaults and Dismissals,A Bella Vita Place Assisted Living LLC,2019004909,,8/24/2021
Defaults and Dismissals,A Bethel Retirement Center,2001023101,,1/31/2002
Defaults and Dismissals,A Bethel Retirement Center Inc,2002011041,,9/4/2002
Defaults and Dismissals,A Bethel Retirement Home,2001057611,,3/15/2002
Defaults and Dismissals,A Bethel Retirement Home Inc,2001071201,,12/4/2002
Defaults and Dismissals,A Better Chance Inc,2006004738,,8/18/2006
Settlement Agreements,A Better Chance Inc,2009003548,09-2797,7/16/2009
Defaults and Dismissals,A Better Chance Inc,2020015781,,8/4/2021
Defaults and Dismissals,A Better Chance Inc,2023011840,,9/11/2023
Defaults and Dismissals,A Better Chance Inc,2023011850,,9/11/2023
Settlement Agreements,A Better Chance Inc,2012005079,,10/8/2012
Settlement Agreements,A Better Chance Inc,2011008040,11-724PH,1/5/2012
Defaults and Dismissals,A Better Chance Inc,2012000902,,2/27/2012
Defaults and Dismissals,A Better Chance Inc,2010007020,,8/20/2010
Defaults and Dismissals,A Better Choice,2018-0011788,,2/27/2019
Defaults and Dismissals,A Better Choice,2017-0006958,,5/9/2017
Defaults and Dismissals,A Better Choice Supports and Services,2018-0011789,,2/27/2019
Defaults and Dismissals,A Better Choice Supports and Services,2017-0006959,,5/9/2017
Defaults and Dismissals,A Better Health Care,2009014438,,2/17/2010
Defaults and Dismissals,A Better Health Care,2005001795,,6/10/2005
Settlement Agreements,A Better Health Care,2003008336,04-347PH,10/12/2004
Settlement Agreements,A Better Health Care,2002048576,03-1970,8/7/2003
Defaults and Dismissals,A Better Health Care,2024007847,,7/15/2024
Settlement Agreements,A Better Health Care,2012011592,,1/18/2013
Defaults and Dismissals,A Better Life Senior Care LLC,2020003707,,9/15/2020
Recommended Orders,A Better Place,CI 12-2203-000,12-234PH,5/7/2013
Defaults and Dismissals,A Better Place,2013010877,,7/14/2014
Defaults and Dismissals,A Better Solution of Sarasota,2019009762,,9/15/2020
Defaults and Dismissals,A Better Solution Support Services LLC,2024-000024542,,12/9/2024
Defaults and Dismissals,A Better Therapy Connection Inc,2025012541,,10/13/2025
Defaults and Dismissals,A Better Way Home Health Care Inc,2020004225,20-165PH,3/26/2021
Defaults and Dismissals,A Birth Center,2020006465,,6/9/2020
Defaults and Dismissals,A Birth Center,2020003383,,5/19/2020
Defaults and Dismissals,A Birth Center,2016010327,,11/28/2016
Miscellaneous Orders,A Blue Ribbon Care Assisted Living Facility LLC,2019012344,,9/18/2019
Defaults and Dismissals,A Brighter Day Home Care Services,2020009602,,7/23/2020
Defaults and Dismissals,A Campus of Memorial Hospital of Tampa,2019009817,,7/5/2019
Defaults and Dismissals,A Campus of Plantation General Hospital,2019009910,,7/5/2019
Settlement Agreements,A Care Connection LLC,2025007711,25-322PH,10/13/2025
Settlement Agreements,A Care Home I (David Barry Lloyd dba A Care Home I),05-92-165-ACLF,92-151PH,7/12/1993
Defaults and Dismissals,A Careful Hand,2020018090,,1/21/2021
Defaults and Dismissals,A Caring ALF,2015006443,,5/23/2016
Defaults and Dismissals,A Caring Companion Inc,2022005335,,5/17/2022
Defaults and Dismissals,A Caring Connextion Inc,CI 15-0080-000,,11/10/2014
Defaults and Dismissals,A Caring Connextion Inc,CI 15-0082-000,,11/10/2014
Defaults and Dismissals,A Caring Connextion Inc,CI 15-0083-000,,11/3/2014
Recommended Orders,A Caring Connextion Inc,CI 14-0500-000,14-110PH,5/20/2014
Defaults and Dismissals,A Caring Connextion Inc,CI 12-2254-000,12-605PH,8/7/2013
Defaults and Dismissals,A Caring Culture LLC,2021002749,,4/15/2021
Defaults and Dismissals,A Caring Hand,2011002017,,4/8/2011
Defaults and Dismissals,A Caring Hand ALF,2015-0004115,,6/16/2015
Defaults and Dismissals,A Caring Hand Home Healthcare,2020017311,,12/22/2020
Defaults and Dismissals,A Caring Hand LLC,2014008143,,10/9/2014
Defaults and Dismissals,A Caring Heart Private Companion Services LLC,2018000295,,3/28/2018
Defaults and Dismissals,A Caring Medical Supply Center Inc,CI 11-2161-000,,3/30/2011
Defaults and Dismissals,A Caring Nurse'S Service,2003009380,,3/16/2004
Settlement Agreements,A Caring Place ALF Inc,2012011964,,2/5/2013
Settlement Agreements,A Caring Soul Home Care LLC,2020009941,20-266PH,9/3/2020
Defaults and Dismissals,A Center For Dermatology,2008010646,08-522PH,1/6/2009
Settlement Agreements,A Center For Dermatology Cosmetic And Laser Surgery,2012004282,,6/5/2012
Settlement Agreements,A Center For Dermatology Cosmetic And Laser Surgery,2010003584,,5/20/2010
Defaults and Dismissals,"A Choice For Women, Inc",2008014477,,3/18/2009
Defaults and Dismissals,A Circle of Success,2020020358,,2/23/2021
Recommended Orders,"A Class Home Health Agency Inc dba A Class Home Health, Inc",2009009952,09-1004PH,11/2/2010
Settlement Agreements,"A Class Home Health, Inc",2009001537,09-610PH,10/13/2009
Defaults and Dismissals,A Class Medical Inc,2010011760,,1/12/2011
Defaults and Dismissals,"A Classic Home Health Care, Inc","10-98-210-HHA, 10-99-003-HHA","98-122PH, 99-08PH",12/21/2000
Settlement Agreements,A Coast to Coast Home Health Care LLC,2010012295,11-1020,5/25/2011
Settlement Agreements,A Comfort Living Inc,"2020003234, 2020005673",20-265PH,8/25/2020
Defaults and Dismissals,A Comfort Living Inc,2022005700,,7/18/2022
Defaults and Dismissals,A Comfort Living Inc,2015011409,,3/20/2018
Settlement Agreements,A Comfort Living Inc,"2024008327, 2022012270, 2023002791, 2023002792",22-469PH,7/29/2024
Defaults and Dismissals,A Comfort Living Inc,2023011125,23-416PH,11/6/2023
Settlement Agreements,A Comfort Living Inc,"2022012270, 2023002791, 2023002792",22-469PH,4/7/2023
Defaults and Dismissals,A Comfort Living Inc,2012005207,,9/24/2012
Defaults and Dismissals,A Comfort Living Inc,2015011256,,12/7/2015
Defaults and Dismissals,A Comfort Living Inc,2015006432,,5/23/2016
Settlement Agreements,A Comfort Living Inc,2017005112,17-193PH,6/15/2017
Recommended Orders,"A Community Home Health, Inc",CI 93-0191-000-G,95-4961,1/13/1997
Recommended Orders,"A Community Home Health, Inc d/b/a We Love To Care Home Health",93-0191-000,93-4194,1/31/1994
Defaults and Dismissals,A Company Care,2004001497,,4/23/2004
Defaults and Dismissals,A Company Care,2006000712,,4/14/2006
Settlement Agreements,A Compassionate Nanny Inc,2025012205,25-494PH,10/13/2025
Settlement Agreements,A Cottage Called Home LLC,2018013510,18-800PH,10/26/2018
Defaults and Dismissals,A Country Place,2004004540,,8/16/2004
Settlement Agreements,A Country Place,"2004002342, 2004002684, 2004003090, 2004003091, 2004003674, 2004004540",,12/17/2004
Defaults and Dismissals,A Country Place,2002048334,,4/22/2003
Defaults and Dismissals,A Country Place,2003005901,,10/1/2003
Defaults and Dismissals,A Country Place,2003003318,,9/18/2003
Defaults and Dismissals,A Country Place,2003001531,,9/18/2003
Defaults and Dismissals,A Country Place,2003003317,,10/13/2003
Defaults and Dismissals,A Country Place,2001037391,,4/22/2003
Defaults and Dismissals,A Country Residence,2017008159,,3/8/2018
Defaults and Dismissals,A D Care Inc,2004006006,,8/30/2004
Settlement Agreements,A D Nursing Services,2001070021,01-168PH,4/15/2002
Settlement Agreements,A Daughters Heart Assisted Living,2011008846,11-657PH,9/19/2011
Defaults and Dismissals,A Daughters Touch Home Health Agency LLC,2021010857,,9/20/2021
Defaults and Dismissals,A Daughter's Touch Home Health Agency LLC,2024012891,25-562PH,1/20/2026
